author,text,time,votes
@GSPACEUnit,I've had premium for like 7 years and live in us and still don't have it. It's so frustrating,2 years ago,1.3K
@erikvanderheijden2571,"Been using Spotify's AI DJ for the past few days now and I really like it! It's not so different than the current ""radio algorithm"", but the DJ avatar narrates between mini set lists of about 4-5 tracks, each with its own user-tailored theme.",2 years ago,42
@honeyv2774,"So simple and I couldn't figure it out on my ownğŸ˜‚ thank you for making such an easy video to follow. Also I appreciate how you leave when you slip on up on words in the video, it makes it feel like I'm learning from another person instead of just googling information.",2 years ago,148
@LOLZfly3r,It is ONLY available for premium users in the USA and Canada. It is in beta testing.,2 years ago,289
@75zy,"1:43 bro didn't skip ivy, you're such a W ğŸ™",2 years ago (edited),8
@maximusaugustus6823,"Regardless of updating the app, I am a premium user and don't have this option.",2 years ago,55
@quitxyz,"the more interesting question should be, how to get the beta function on different country's",2 years ago,179
@5part4,0:43 I click music and all I see is my liked songs recommendations and that's it no green circle ?,6 months ago,8
@The090919900222,I think having AI DJ is really awesome. I have a few playlists on my account and sometimes it does get annoying to switch them around. But it's really clever to mash everything together and play songs I haven't heard in a while. Nothing better than having your own personal DJ. Clever Idea,8 months ago,0
@Martorell_,"When I heard DJ I thought it was gonna beatmatch, do stem separation and some sick stuff. This is pretty much Loquendo + ChatGPT imitating a radio MC",2 years ago,5
@FlyingRedTailHawk,It is actually cool and helpful.  If you have Spotify on a computer it is good there as well.,1 year ago,1
@sammacdonald8240,I don't have the dj icon at the bottom right corner of my screen.,2 years ago,10
@Blueeiris,I still dont have this option? ğŸ˜¢ i have premium and im in the us and updated,2 years ago,65
@Nathan-rl8di,"I have had premium for 2 years now, I am on a supported phone in the us literally reinstalled Spotify I still can't find dj anywhere or any dj setting",2 years ago,7
@MsMazelTov,Literally had premium for years in the correct region and I'm one of the people still waiting. Really like the idea too but guess I'm gonna have to wait,2 years ago,2
@SKZ.EDIT.S,"I have it, and It literally shows songs I dont know but love it, works on all people (as im a family plan of 6 family home members like siblings), its so fast and smart.",8 months ago,0
@sillyfloofer,i have everything updated to where it's even more updated than the version you had in this video and i still dont have the dj popping up for me.,2 years ago,10
@saintfork4949,My main problem is that I don't even have a music tab,2 years ago,62
@AJ-ft7yu,Perfect video. Thanks for the help.,2 years ago,1
@4ytherium,Slowly rolling out to users,2 years ago,66
@derek2339,i dont got it but peiple ik do its so fucking annoying,2 years ago,73
@romerogaytan,I deleted it and reinstalled and it popped up after that try it out,2 years ago,27
@serbanandrei777,@romerogaytan i have 2.5K songs downloadedâ€¦and i need like a hour to redownload the songs,2 years ago,31
@bigjuicy2493,@serbanandrei777 I tried redownloading and it didn't work,2 years ago,9
@Drewicitoz,Seriously I'm premium why don't I have it like wtf I'm paying for if they're gonna give it to non premium users fuck my life,2 years ago,54
@gremlin_22,"@Drewicitoz you paying for no ads, downloads, and getting to choose waht songs you want played",2 years ago,12
@z0mb13_cat,SAAAME AND I DELETED THE APP AND DOWNLOADED IT AGAIN AND STILL NOTHING,2 years ago,8
@Le-Fishe,"I STILL don't have this lol, I've been premium since 2016",2 years ago,7
@kingjayskingdom810,@derek2339 i jus got it literally just happened lmao,2 years ago,3
@chellykt,I don't want the new Spotify,2 years ago,1
@Jassimoooooo,"Snap, been using since beta ğŸ™ƒ",2 years ago,0
@anastazjakromolicka3376,Still don't have it,2 years ago,0
@lucastye4087,@Drewicitoz nice pfp,2 years ago,1
@EndyWendyWoo,Mby bc spotify is swedish :/,2 years ago,0
@Drewicitoz,@lucastye4087 thanks you too bro,2 years ago,1
@boy6319,"7 years? Rookie numbers buddy, I'm going on 12 years. Despite country, If U've given em thousands of dollars I feel like you should get it anywaysğŸ˜‚ğŸ˜‚",2 years ago,0
@mjtheclown9161,"Hey, try going to the search bar and typing in dj if you scroll down it should be there, that's what I had to do",2 years ago,2
@EndyWendyWoo,@mjtheclown9161 Ty,2 years ago,1
@EndyWendyWoo,@mjtheclown9161 You sure you found ai dj and not just a playlist by someone else,2 years ago,7
@MenagoSandryS,I live in Poland and I don't have it,2 years ago,0
@d12icryptics58,It rolls out differently I've just got mine today,2 years ago,0
@davidjones5179,"I haven't had premium overly long and I couldn't get it the way this guy explained, but I did go into the search in Spotify and typed in â€œSpotify DJâ€ and it came up. Not I've got it. So maybe try that?",2 years ago,1
@andreaross6459,I just noticed that I have it today. You will probably get it soon.,2 years ago,0
@Emma_Zhou,Have you tried AI DJ these days?,2 years ago,0
@ihaveonecontent1889,The just added it for me rn,2 years ago,0
@audreyhimes9278,"@derek2339so I thought I didn't have it either cuz when I clicked on the ""music"" button, the dj wasn't there. But then I went to the search bar in Spotify and I typed dj and it popped right up. It's been working just fine so far. Still not showing up in the ""music"" section tho.",2 years ago (edited),0
@tanatswachakazchaka4134,Same here ğŸ˜¢,2 years ago,0
@brocknecromancer4701,@mjtheclown9161Thanks for the tip. Typed in search bar and found it.,2 years ago (edited),0
@minagaming2278,Fr,2 years ago,0
@AMLP94,I have samsung a54 and just found it because I seen it on tiktok,1 year ago,0
@noslengashi1390,Still nothing,1 year ago,0
@Lon3ly_zon3r,It needs premium and its only in a few countries,1 year ago,0
@Kora-f2v,I can't get rid of it I need helppp ğŸ˜”ğŸ˜­ğŸ˜­ğŸ˜­,9 months ago,0
@MakkenGamez,It's been 2 years and I don't have it yet,4 months ago,0
@moonster.,Germany still doesnt have it :(,3 months ago,0
@M.W.95,Woop woop,2 years ago,1
@Joshua_Laresma,I had premium plan like 2 years now,1 year ago,0
@KenHoadley,I'm a premium user in the US. Makes no sense why I don't have it,2 years ago,24
@CodeDrill-Official,@KenHoadley prob bc you are not a beta tester (beta menas it is in testing and not everyone has it),2 years ago (edited),5
@benos_recordings,Not the hero we deserved but the hero we needed. Thanks from the UK for explaining :),2 years ago,16
@egwars3,is it still limited only to the USA and Canada?,2 years ago,4
@davidpurple3698,How long time will they beta test? Nothing in DK,1 year ago,0
@hanvxleo,You're the real deal ğŸ™,1 year ago,0
@maximusaugustus6823,"Now I got it today. April 7th, 2023",2 years ago (edited),1
@maximusaugustus6823,"But it is a joke of an option, the guy from the hood talking with the street style of language, I do not use it.",2 years ago,0
@devilbobgaming,@maximusaugustus6823 you dont like it because it uses the persona of a black person ğŸ’€,2 years ago,11
@TerribleAcid,still don't have it,2 months ago,0
@GotHighPing,Use a vpn like me,2 years ago,3
@myownname5,@GotHighPing Does it really work with vpn?,2 years ago,0
@hannomat4647,@myownname5 for me it did not work,2 years ago,5
@faulyf,@GotHighPing Do you like to lie because it makes you feel valuable?,2 years ago,26
@carabondish,@GotHighPing nah if yall have premium DO NOT USE VPN all of your downloads are going to get deleted,2 years ago,4
@NostalgiCrazy,"Lol fr, I was ready for some mixes! Especially as an EDM fan. This ""DJ"" is just meh for now.",1 year ago,0
@CeeDeeLmao,Press search and type dj,1 year ago,2
@presg,same I am in the US and have premium,2 years ago,9
@L4dplayer3448,@presg YEAH,2 years ago,0
@kunalbhardwaj8803,You have to update the app,2 years ago,3
@myplace805,@kunalbhardwaj8803 WE DID,2 years ago,1
@FlyingRedTailHawk,I didn't even know Spotify came out with a new update.,1 year ago,1
@labmouse13,Works for me. Thanks!,2 years ago,1
@GiftsFromGod,I have a brand new iPhone up to date phone and app I'm in the us this isn't there. What do I do?,2 years ago,7
@JakesBakin,"Thank you, helped me figure out how to open it, their instructions weren't the clearest",2 years ago,1
@velpex6695,If it's not showing up you can also just put DJ into the search bar and click the first option,1 year ago,0
@seanquinn4787,Thanks for the instructions,1 year ago,0
@Steve186,It's badass Fr ğŸ’¯ğŸ’¯ğŸ’¯,2 years ago,0
@lazyflawless8067,"I only wish I could tell it what mood I want to set or maybe what type of music to look for and play. Like if I want party music, or gym music, or maybe morning vibes, I simply want to be able to choose. I guess that's just me being picky, but if the AI was able to do this it would be very awesome.",1 year ago,0
@SamAbdelHamid,"I thought spotify already curated new music based on my likes. If that was the case over the past years, isn't this announcement just to join the AI trend and lure users to using the service more?",2 years ago,53
@angela.8673,In canada and is a premium user. I have it! It works like magic,2 years ago,0
@brianjackson3954,"Spotifys new AI DJ is NOT AI. It is 20 years old relational database tech (and a bad one at that). Sadly, ""AI"" is now an overused marketing buzz word.",2 years ago,18
@xray_wizard4518,"an upgrade of the 'discovery weekly' playlist, (i still dont have itğŸ™‚)",2 years ago,0
@InspireForwardofficial,Thanks ğŸ‰,1 year ago,0
@2_techs996,I have a question I can't see the dj icon at the bottom right of my screen,2 years ago,11
@thijn9230,When is this function available in the Netherlands?,1 year ago,1